,id,lon,lat,first_name,last_name,email,description,date,image_url,senses,report_type
0,1110,-119.2147,34.2677,Archived,Photo,info@fractracker.org,"Aera energy wells just outside of Ventura, Ca",2015-01-27T17:17:00,https://api.fractracker.org/static/usercontent/FS_9e40e4b538fa45bf82a288593c6dab71_original.jpg,[],Other
0,1111,-119.2147,34.2677,Archived,Photo,info@fractracker.org,"Aera energy wells just outside of Ventura, Ca",2015-01-27T17:17:00,https://api.fractracker.org/static/usercontent/FS_e71da18f0861443d879e661e5b23513a_original.jpg,[],Other
0,1113,-119.2147,34.2677,Archived,Photo,info@fractracker.org,,2015-01-27T17:20:00,https://api.fractracker.org/static/usercontent/FS_81bc852a25064fdfb214d522e110dbfa_original.jpg,[],Other
0,1114,-119.2147,34.2677,Archived,Photo,info@fractracker.org,,2015-01-27T17:20:00,https://api.fractracker.org/static/usercontent/FS_13722e256e534f7a8729907e27265e45_original.jpg,[],Other
0,1143,-118.97015,35.4222,Archived,Photo,info@fractracker.org,,2015-01-28T18:21:00,https://api.fractracker.org/static/usercontent/FS_8bd986d9bf2c4962b11801af5700f8d7_original.jpg,[],Other
0,1144,-118.97015,35.4222,Archived,Photo,info@fractracker.org,,2015-01-28T18:21:00,https://api.fractracker.org/static/usercontent/FS_a62d624bc6324e9bb3a568e5edbb5709_original.jpg,[],Other
0,1177,-81.45474,39.85312,Archived,Photo,info@fractracker.org,Antero gathering line,2015-05-11T11:31:00,https://api.fractracker.org/static/usercontent/FS_4687ce0362e948a2b63239c5e0db443a_original.jpg,[],Other
0,1178,-81.45474,39.85312,Archived,Photo,info@fractracker.org,Antero gathering line,2015-05-11T11:31:00,https://api.fractracker.org/static/usercontent/FS_fa7263d3573a49139dcb91fb23fab3e6_original.jpg,[],Other
0,1234,-105.047218,40.151924,Archived,Photo,info@fractracker.org,,2015-11-21T11:06:00,https://api.fractracker.org/static/usercontent/FS_039c903457a74571939906d093792d9a_original.jpg,[],Other
0,1235,-105.047218,40.151924,Archived,Photo,info@fractracker.org,,2015-11-21T11:06:00,https://api.fractracker.org/static/usercontent/FS_5dfa81e0af4443279b3715e102765776_original.jpg,[],Other
0,1248,-103.61128,46.98051,Archived,Photo,info@fractracker.org,Pipeline scar,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_a06e4d13e98a4e5eaa5e7db8e76e9f70_original,[],Other
0,1249,-103.61128,46.98051,Archived,Photo,info@fractracker.org,Pipeline scar,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_d471b95e38d84bee9703772445779654_original,[],Other
0,1250,-103.61116,46.98363,Archived,Photo,info@fractracker.org,Oil Rigs,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_ad37cc35ea6440afbd1e0417fec691e6_original,[],Other
0,1251,-103.61116,46.98363,Archived,Photo,info@fractracker.org,Oil Rigs,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_ca5d883cb56041a19f0040563b6fc62d_original,[],Other
0,1256,-103.63156,47.04602,Archived,Photo,info@fractracker.org,Oil Well and Erosion,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_f6cafd8fee6240c9809bff18f8677c06_original,[],Other
0,1257,-103.63156,47.04602,Archived,Photo,info@fractracker.org,Oil Well and Erosion,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_10267eae775c467b8eea63c7918a2cf2_original,[],Other
0,1258,-103.63156,47.08602,Archived,Photo,info@fractracker.org,Oil well and Erosion,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_0ce2923163494209acc6441bb4a9bdf9_original,[],Other
0,1259,-103.63156,47.08602,Archived,Photo,info@fractracker.org,Oil well and Erosion,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_db53a551751b4a8a996a69958ef55c5b_original,[],Other
0,1260,-103.63156,47.08602,Archived,Photo,info@fractracker.org,Oil well and Erosion,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_19ae895713a944a1b527f206fd0933cf_original,[],Other
0,1263,-103.3441,46.8619,Archived,Photo,info@fractracker.org,Oil and Gas Infrastructure,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_149865997c3b4a4eb4106e6c9cb370ab_original,[],Other
0,1264,-103.3441,46.8619,Archived,Photo,info@fractracker.org,Oil and Gas Infrastructure,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_9f771fc3445545869437176eae20d930_original,[],Other
0,1271,-103.3661,46.8721,Archived,Photo,info@fractracker.org,Train pics,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_a8efd478e9614e7193456857e535e31a_original,[],Other
0,1272,-103.3661,46.8721,Archived,Photo,info@fractracker.org,Train pics,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_8e7953ccb50b42b99bec678153d7757f_original,[],Other
0,1273,-103.3661,46.8721,Archived,Photo,info@fractracker.org,Train pics,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_468947430d3c4ce888f940521a02dfbb_original,[],Other
0,1274,-103.3661,46.8721,Archived,Photo,info@fractracker.org,Train pics,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_5f97f0600e4647ee88d5a0cbdeb9581e_original,[],Other
0,1275,-103.4032,46.8734,Archived,Photo,info@fractracker.org,Well Pad,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_7624f34b728346da882dc4c8d45a9a99_original,[],Other
0,1276,-103.4032,46.8734,Archived,Photo,info@fractracker.org,Well Pad,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_a422558965d5448aa57c676eed62f37c_original,[],Other
0,1517,-78.8,41.85,Archived,Photo,info@fractracker.org,Save 0ur Streams PA - Unplugged well,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_d7342f71726a46de909ab7fcc26e0b57_original,[],Other
0,1518,-78.8,41.85,Archived,Photo,info@fractracker.org,Save 0ur Streams PA - Unplugged well,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_ab0acaccf6804d35b6115d4fffe20a8b_original,[],Other
0,1522,-78.19,41.81,Archived,Photo,info@fractracker.org,Save 0ur Streams PA - Apparent discharge of residual waste into Sartwell Creek,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_95ac5e2f7f8941c8b8d84b0d12780d9b_original,[],Other
0,1523,-78.19,41.81,Archived,Photo,info@fractracker.org,Save 0ur Streams PA - Apparent discharge of residual waste into Sartwell Creek,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_4fc2420c136b405585ba50b310019987_original,[],Other
0,1524,-78.19,41.81,Archived,Photo,info@fractracker.org,Save 0ur Streams PA - Apparent discharge of residual waste into Sartwell Creek,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_5bd926434a554b1293480ac18b19fd49_original,[],Other
0,1525,-78.19,41.81,Archived,Photo,info@fractracker.org,Save 0ur Streams PA - Apparent discharge of residual waste into Sartwell Creek,2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_7bc0b86609944e95bfb8f203f558a951_original,[],Other
0,1526,-78.10634,41.74865,Archived,Photo,info@fractracker.org,"Save 0ur Streams PA - Water withdrawal site, apparently putting tanker over weight limit.  Damaged road",2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_f2d41c07a2f34c28adfcc3ad183dbb13_original,[],Other
0,1527,-78.10634,41.74865,Archived,Photo,info@fractracker.org,"Save 0ur Streams PA - Water withdrawal site, apparently putting tanker over weight limit.  Damaged road",2015-12-11T10:05:00,https://api.fractracker.org/static/usercontent/FS_e06a430d04b641fa91a97094e6e2d8f8_original,[],Other
0,1561,-84.714035,36.316822,Archived,Photo,info@fractracker.org,,2016-05-14T12:50:00,https://api.fractracker.org/static/usercontent/FS_fe7e4c09d16a44008525bdffad419694_original.jpg,[],Other
0,1562,-84.714035,36.316822,Archived,Photo,info@fractracker.org,,2016-05-14T12:50:00,https://api.fractracker.org/static/usercontent/FS_a62dac8dea234764b797be8d73f71f62_original.jpg,[],Other
0,1563,-84.714035,36.316822,Archived,Photo,info@fractracker.org,,2016-05-14T12:50:00,https://api.fractracker.org/static/usercontent/FS_2c4fa6dbc22645f2b7e6028f286c2992_original.jpg,[],Other
0,1753,-76.4322944199999,38.38854356,,,jamminjeff20637@yahoo.com,Dominion glow 12:22 am,2018-02-23T00:00:00,https://api.fractracker.org/static/usercontent/FS_81bd5e304bde43e4b2b7691148688913_original.jpg,['Sight'],Refineries
0,1754,-76.4322944199999,38.38854356,,,jamminjeff20637@yahoo.com,Dominion glow 12:22 am,2018-02-23T00:00:00,https://api.fractracker.org/static/usercontent/FS_1f532e6534ac45aea82fd22b1ad0c159_original.jpg,['Sight'],Refineries
0,1762,-4.55e-13,-13.9597931661828,Richard,Adamovich-Zeitlin,radamovichzeitlin@gmail.com,,2018-03-09T00:00:00,https://api.fractracker.org/static/usercontent/FS_008bb2eb2171444aa9bf8000bb1b8bcd_original.jpg,['Sight'],Pipelines
0,1765,-4.55e-13,-13.9597931661828,Richard,Adamovich-Zeitlin,radamovichzeitlin@gmail.com,,2018-03-09T00:00:00,https://api.fractracker.org/static/usercontent/FS_622bc03638e047dc9e84b8a93354f05b_original.jpg,['Sight'],Pipelines
0,1766,-4.55e-13,-13.9597931661828,Richard,Adamovich-Zeitlin,radamovichzeitlin@gmail.com,,2018-03-09T00:00:00,https://api.fractracker.org/static/usercontent/FS_24a9b1e7070246c282d64b8d267499fd_original.jpg,['Sight'],Pipelines
0,1767,-4.55e-13,-13.9597931661828,Richard,Adamovich-Zeitlin,radamovichzeitlin@gmail.com,,2018-03-09T00:00:00,https://api.fractracker.org/static/usercontent/FS_1ab241f145b04723937a2b80e859dae3_original.jpg,['Sight'],Pipelines
0,1771,-4.55e-13,-13.9597931661828,Richard,Adamovich-Zeitlin,radamovichzeitlin@gmail.com,,2018-03-09T00:00:00,https://api.fractracker.org/static/usercontent/FS_edc46b8c309c4bee8560f1af75c3f865_original.jpg,['Sight'],Pipelines
0,1772,-4.55e-13,-13.9597931661828,Richard,Adamovich-Zeitlin,radamovichzeitlin@gmail.com,,2018-03-09T00:00:00,https://api.fractracker.org/static/usercontent/FS_8baf302af08d4f27b391fb60cc265ac2_original.jpg,['Sight'],Pipelines
0,1775,-4.55e-13,-13.9597931661828,Richard,Adamovich-Zeitlin,radamovichzeitlin@gmail.com,,2018-03-09T00:00:00,https://api.fractracker.org/static/usercontent/FS_7e4e21d01aa14816a2f4f77451f087e9_original.jpg,['Sight'],Pipelines
